Trial,calltype,rms,maxAmp,meanS,stdS,skewS,kurtS,entS,q1,q2,q3,meanT,stdT,skewT,kurtT,entT
echolocation,echo,13.23567,13.74201,42763.87,10889.01,-0.44292,2.207353,0.919836,35437.5,44625,52687.5,0.252551,0.143782,-0.02054,1.806007,0.999445
echolocation,echo,17.85445,25.3757,38566.15,11653.46,-0.04424,1.825604,0.931785,28125,39937.5,48562.5,0.262175,0.144292,-0.04319,1.887258,0.995818
echolocation,echo,16.79282,26.43423,39528.31,11801.78,-0.1724,1.829714,0.927672,28875,41437.5,49875,0.251102,0.138432,-0.01491,1.946522,0.994991
echolocation,echo,13.2294,12.72598,42642.85,10818.5,-0.40963,2.188158,0.923068,35250,44625,52500,0.248841,0.142831,0.013904,1.824177,0.999722
echolocation,echo,12.67012,11.18076,44054.19,10073.05,-0.51141,2.452321,0.911714,37500,45750,53062.5,0.437757,0.250896,-0.00982,1.799615,0.999657
echolocation,echo,13.4914,14.3377,41913.33,11223.08,-0.35157,2.058459,0.925103,33937.5,43687.5,52125,0.250307,0.142355,0.004444,1.821274,0.999259
echolocation,echo,12.86234,13.18907,43712.68,10258.55,-0.51344,2.435271,0.914888,37125,45375,52875,0.250349,0.14348,0.009517,1.801073,0.999433
echolocation,echo,12.99474,11.91897,43302.87,10549.83,-0.47216,2.2988,0.918506,36375,45187.5,52875,0.250886,0.144247,-0.00019,1.782902,0.999637
echolocation,echo,15.60969,25.38811,38506.56,12487.71,-0.04076,1.706682,0.933763,26812.5,39750,50250,0.260719,0.148351,-0.04984,1.766295,0.997397
echolocation,echo,16.4994,22.09502,36705.18,12481.78,0.168021,1.713688,0.929763,24937.5,36562.5,48375,0.251445,0.141555,0.012145,1.871169,0.997648
echolocation,echo,13.43055,16.9684,42199.81,11040.59,-0.37174,2.105821,0.924127,34312.5,44250,52125,0.370505,0.218133,0.019632,1.792277,0.999407
echolocation,echo,14.61578,16.64634,41773.28,10759.89,-0.31899,2.114232,0.923641,34125,43312.5,51187.5,0.250321,0.142682,-0.00883,1.817792,0.999107
echolocation,echo,33.11656,35.80774,36491.93,9648.509,0.252415,2.217428,0.905173,27937.5,37500,42937.5,0.26005,0.141893,-0.19329,1.846467,0.989083
echolocation,echo,13.04675,13.39272,43201.87,10593.59,-0.45137,2.26023,0.918316,36000,45000,52875,0.249409,0.144396,0.001163,1.7996,0.999459
echolocation,echo,12.78777,11.41054,43833.4,10206.5,-0.49755,2.402404,0.913852,37125,45750,53062.5,0.24866,0.14426,0.005842,1.803183,0.999913
echolocation,echo,13.13578,13.73136,42983.13,10811.61,-0.46257,2.25977,0.920919,35812.5,44812.5,52875,0.250339,0.143257,-0.01089,1.798842,0.999558
echolocation,echo,13.31651,12.87656,42672.44,10842.78,-0.3958,2.146995,0.921603,35062.5,44437.5,52500,0.252048,0.142972,-0.01603,1.801921,0.999536
echolocation,echo,12.97966,12.82421,43645.4,10357.27,-0.48757,2.3516,0.91403,36750,45562.5,52875,0.248953,0.144188,0.002672,1.79885,0.999467
echolocation,echo,13.11036,13.97349,42776.76,10950.96,-0.46245,2.233873,0.922513,35437.5,45000,52500,0.190124,0.108032,0.000505,1.796845,0.999011
echolocation,echo,19.77681,32.54169,35385.29,11814.14,0.41918,1.836265,0.91107,24750,33187.5,45937.5,0.261691,0.144733,-0.11385,1.758791,0.995122
echolocation,echo,20.51146,34.95302,33911.33,11707.37,0.533063,2.066306,0.922188,23812.5,31312.5,43687.5,0.245219,0.137102,0.027912,1.903178,0.991884
echolocation,echo,15.20674,16.30291,40854.56,11117.11,-0.21161,1.915337,0.927387,31687.5,42562.5,50812.5,0.252466,0.141446,-0.04198,1.84379,0.99863
echolocation,echo,13.71708,15.7087,41986.25,11125.94,-0.34483,2.072022,0.925383,34125,43875,52125,0.253314,0.143982,-0.01594,1.812368,0.999293
echolocation,echo,14.00092,15.57436,41362.15,11329.58,-0.28738,1.990561,0.927942,33000,43125,51750,0.248508,0.143424,0.004351,1.819687,0.999088
echolocation,echo,12.59373,12.29174,43570.21,10591.51,-0.53182,2.376381,0.91741,36937.5,45750,52875,0.326815,0.187867,0.000337,1.803888,0.999805
echolocation,echo,12.41576,12.09299,43915.94,10331.97,-0.56085,2.490158,0.913922,37500,45937.5,53062.5,0.373181,0.217179,0.003987,1.792963,0.999878
echolocation,echo,14.56656,14.84159,44051.98,10195.71,-0.63068,2.546949,0.911446,37875,46500,52687.5,0.25105,0.142197,-0.00837,1.827559,0.99933
echolocation,echo,14.69806,15.58043,43679.4,10329.79,-0.59483,2.49568,0.914051,37500,45750,52687.5,0.251746,0.143059,-0.02941,1.814209,0.999599
echolocation,echo,15.11793,14.8176,43457.19,10396.65,-0.55723,2.378884,0.915193,36937.5,45937.5,52312.5,0.246672,0.144848,0.025394,1.806053,0.999375
echolocation,echo,21.76359,41.05804,37486.24,11274,0.193492,1.889181,0.925513,27937.5,35625,47625,0.254307,0.144022,-0.06417,1.755406,0.993619
echolocation,echo,15.12008,20.85047,43243.44,10652.32,-0.56583,2.385627,0.918493,36375,45562.5,52312.5,0.373504,0.215638,0.005304,1.807155,0.999346
echolocation,echo,36.94853,57.26464,34950.47,9405.512,0.554986,2.743066,0.907799,27750,34125,40312.5,0.249611,0.131597,0.033138,2.016815,0.983313
echolocation,echo,37.70879,38.4291,34707,10253.21,0.565355,2.299835,0.910305,26250,32437.5,42375,0.150859,0.092639,0.040728,1.72247,0.985261
echolocation,echo,16.52747,19.30682,41410.85,11015.75,-0.32351,2.038603,0.923047,32812.5,43125,51000,0.226776,0.127635,-0.01797,1.835057,0.998756
echolocation,echo,15.3217,16.91529,43092.82,10304.92,-0.49138,2.360673,0.917114,36375,44812.5,51937.5,0.249538,0.144108,0.015079,1.783512,0.999195
echolocation,echo,37.10934,46.80365,32568.23,9973.327,0.650891,2.554324,0.904872,24187.5,30562.5,39750,0.26143,0.141066,-0.12163,1.841308,0.985491
echolocation,echo,28.95278,46.86976,31786.56,11109.81,0.767388,2.439899,0.897798,22687.5,27562.5,39750,0.231483,0.140852,0.193938,1.858983,0.98686
echolocation,echo,14.90562,16.2477,43477.13,10581.92,-0.56662,2.406295,0.917919,36937.5,45750,52687.5,0.249782,0.142207,0.008645,1.84029,0.999517
echolocation,echo,14.64983,16.25204,43895.75,10374.09,-0.61311,2.525306,0.914982,37687.5,46125,52875,0.369809,0.21743,0.029502,1.790934,0.999685
echolocation,echo,19.01251,42.79689,38625.44,11692.46,-0.00336,1.752541,0.932457,27937.5,39375,49500,0.25729,0.136111,-0.08955,1.954994,0.990444
echolocation,echo,20.90305,21.58626,39165.21,10873.56,-0.01386,1.901474,0.924059,29062.5,40125,48187.5,0.249427,0.14098,0.015517,1.887337,0.997803
echolocation,echo,14.45207,13.83738,44009.11,10289.16,-0.6279,2.521888,0.912857,37687.5,46500,52687.5,0.25279,0.144371,-0.02841,1.800947,0.999753
echolocation,echo,14.29585,12.21541,44818.62,9757.641,-0.67785,2.743616,0.905323,39000,46875,53250,0.375593,0.216567,-0.0024,1.79745,0.999904
echolocation,echo,14.57538,14.7366,44238.68,10126.66,-0.6267,2.607774,0.911957,38062.5,46312.5,53062.5,0.376274,0.215244,-0.00133,1.817707,0.999605
